connector_id,source_url,data_version,last_snapshot_date,license_text_snippet,derivative_reuse,contact,weight,group,higher_raw_is_worse,update_mult,raw_fields
CountriesWbCpiTotlZg,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,75,60,1,1.0,see /legal/sources/
CountriesWbFpCpiTotl,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,20,60,1,1.0,see /legal/sources/
CountriesWbLe00,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,45,40,0,1.0,see /legal/sources/
CountriesWbMilTotl,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,40,40,1,1.0,see /legal/sources/
CountriesWbNetUser,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,40,40,0,1.0,see /legal/sources/
CountriesWbPopDpnd,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,20,40,1,1.0,see /legal/sources/
CountriesWbPopGrow,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,25,40,1,1.0,see /legal/sources/
CountriesWbPovGini,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,60,60,1,1.0,see /legal/sources/
CountriesWbPsrcP5,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,100,100,1,1.0,see /legal/sources/
CountriesWbResTotlCd,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,25,40,0,1.0,see /legal/sources/
CountriesWbRlEst,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,80,100,0,1.0,see /legal/sources/
CountriesWbUem1524,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,70,60,1,1.0,see /legal/sources/
CountriesWbUemTotl,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,55,60,1,1.0,see /legal/sources/
CountriesWbVaEst,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,50,100,0,1.0,see /legal/sources/
CountriesWbWgiPvCcRl,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,85,100,0,1.0,see /legal/sources/
CountryNewsRiskLevel,/legal/sources/,live,live,CC BY-ND 4.0,Derived indicators; no-derivatives constraints may apply to redistribution,data@nationfiles.com,100,100,0,3.65,see /legal/sources/
DisasterGdacsHumNat,/legal/sources/,live,live,GDACS Terms of Use,Derived indicators; verify attribution/terms,data@nationfiles.com,100,100,1,7.30,see /legal/sources/
EconFredHerCountScOvSc,/legal/sources/,live,live,Refer to Source Link,Derived indicators; verify attribution/terms,data@nationfiles.com,60,60,0,1.0,see /legal/sources/
EconFredHerCountScRanks,/legal/sources/,live,live,Refer to Source Link,Derived indicators; verify attribution/terms,data@nationfiles.com,60,60,1,1.0,see /legal/sources/
EconFredHerCountScRights,/legal/sources/,live,live,Refer to Source Link,Derived indicators; verify attribution/terms,data@nationfiles.com,100,100,0,1.0,see /legal/sources/
EconFredHerCountScTax,/legal/sources/,live,live,Refer to Source Link,Derived indicators; verify attribution/terms,data@nationfiles.com,60,60,1,1.0,see /legal/sources/
EurostatStatArblsQ,/legal/sources/,live,live,Refer to Source Link,Derived indicators; verify attribution/terms,data@nationfiles.com,60,60,1,1.12,see /legal/sources/
EurostatStatTps,/legal/sources/,live,live,Refer to Source Link,Derived indicators; verify attribution/terms,data@nationfiles.com,40,40,0,1.0,see /legal/sources/
GovFbiMw,/legal/sources/,live,live,OpenSanctions / FBI data – Public Domain (DOJ),Derived indicators typically reusable with attribution,data@nationfiles.com,80,100,1,1.52,see /legal/sources/
GovIntPol,/legal/sources/,live,live,INTERPOL Terms of Use,Derived indicators; redistribution depends on terms,data@nationfiles.com,85,100,1,1.52,see /legal/sources/
NewsMediaStck,https://mediastack.com/,live,live,Refer to Service Agreement,Derived indicators; redistribution depends on ToS,data@nationfiles.com,50,70,0,3.65,see /legal/sources/
NfMilitaryMassViolence,/legal/sources/,live,live,Internal processing for NationFiles Intelligence,Not for public redistribution unless explicitly licensed,data@nationfiles.com,100,100,1,7.30,mlmv_actor_day_stress
NfNewsCountry24,/legal/sources/,live,live,CC BY-ND 4.0,Derived indicators; no-derivatives constraints may apply to redistribution,data@nationfiles.com,70,70,1,3.65,risk_level
NfRawNewsSignalsEventRisk,/legal/sources/,live,live,CC BY-ND 4.0,Derived indicators; no-derivatives constraints may apply to redistribution,data@nationfiles.com,100,100,0,3.65,see /legal/sources/
OecdSdmxGdpvAnnpct,/legal/sources/,live,live,OECD Terms & Conditions,Derived indicators; verify attribution/terms,data@nationfiles.com,60,60,0,1.0,see /legal/sources/
OWIDDemocracyIndex,/legal/sources/,live,live,CC BY / Our World in Data,Derived indicators reusable with attribution,data@nationfiles.com,70,70,0,1.0,see /legal/sources/
SdgGlobalIndexSdsn,/legal/sources/,live,live,Refer to Source Link,Derived indicators; verify attribution/terms,data@nationfiles.com,60,60,0,1.0,see /legal/sources/
TravelAdvisoryUnified,/legal/sources/,live,live,Refer to Source Link,Derived indicators; verify attribution/terms,data@nationfiles.com,75,100,1,3.65,see /legal/sources/
TravelStateGov,/legal/sources/,live,live,U.S. Government Work,Derived indicators typically reusable with attribution,data@nationfiles.com,80,100,1,3.65,see /legal/sources/
TrvlWarnCaVoy,/legal/sources/,live,live,Open Government Licence – Canada,Derived indicators reusable with attribution,data@nationfiles.com,75,100,1,1.52,see /legal/sources/
TrvlWarnDe,/legal/sources/,live,live,Refer to Source Link,Derived indicators; verify attribution/terms,data@nationfiles.com,75,100,1,1.52,see /legal/sources/
TrvlWarnDeWarn,/legal/sources/,live,live,Refer to Source Link,Derived indicators; verify attribution/terms,data@nationfiles.com,75,100,1,1.52,see /legal/sources/
TrvlWarnUk,/legal/sources/,live,live,Open Government Licence v2.0,Derived indicators reusable with attribution,data@nationfiles.com,75,100,1,3.65,see /legal/sources/
WorldEarthQuakeUsgs,/legal/sources/,live,live,USGS Public Domain,Derived indicators typically reusable with attribution,data@nationfiles.com,100,100,1,7.30,see /legal/sources/
WorldUnivDataSetIpsa,/legal/sources/,live,live,Refer to repository,Derived indicators; verify attribution/terms,data@nationfiles.com,25,40,0,1.0,see /legal/sources/
