iso2,date_ymd,connector_id,raw_value,delta
DD,2026-01-02,NET_OUTAGE,0,1
DD,2026-01-02,SOC_SENT,0.35,1
DD,2026-01-03,SEC_CONFLICT,8,1
DD,2026-01-03,ECO_INFL,2.4,1
DD,2026-01-03,NET_OUTAGE,1,1
DD,2026-01-03,SOC_SENT,0.20,1

EE,2026-01-01,SEC_CONFLICT,25,1
EE,2026-01-01,ECO_INFL,4.0,1
EE,2026-01-01,NET_OUTAGE,2,1
EE,2026-01-01,SOC_SENT,0.10,1
EE,2026-01-02,SEC_CONFLICT,28,1
EE,2026-01-02,ECO_INFL,4.6,1
EE,2026-01-02,NET_OUTAGE,3,1
EE,2026-01-02,SOC_SENT,0.00,1
EE,2026-01-03,SEC_CONFLICT,35,1
EE,2026-01-03,ECO_INFL,5.2,1
EE,2026-01-03,NET_OUTAGE,4,1
EE,2026-01-03,SOC_SENT,-0.10,1

FF,2026-01-01,SEC_CONFLICT,3,1
FF,2026-01-01,ECO_INFL,1.7,1
FF,2026-01-01,NET_OUTAGE,0,1
FF,2026-01-01,SOC_SENT,0.50,1
FF,2026-01-02,SEC_CONFLICT,4,1
FF,2026-01-02,ECO_INFL,1.8,1
FF,2026-01-02,NET_OUTAGE,0,1
FF,2026-01-02,SOC_SENT,0.45,1
FF,2026-01-03,SEC_CONFLICT,5,1
FF,2026-01-03,ECO_INFL,2.0,1
FF,2026-01-03,NET_OUTAGE,0,1
FF,2026-01-03,SOC_SENT,0.35,1

GG,2026-01-01,SEC_CONFLICT,70,1
GG,2026-01-01,ECO_INFL,12.0,1
GG,2026-01-01,NET_OUTAGE,14,1
GG,2026-01-01,SOC_SENT,-0.70,1
GG,2026-01-02,SEC_CONFLICT,75,1
GG,2026-01-02,ECO_INFL,11.5,1
GG,2026-01-02,NET_OUTAGE,13,1
GG,2026-01-02,SOC_SENT,-0.65,1
GG,2026-01-03,SEC_CONFLICT,90,1
GG,2026-01-03,ECO_INFL,13.0,1
GG,2026-01-03,NET_OUTAGE,16,1
GG,2026-01-03,SOC_SENT,-0.80,1

HH,2026-01-01,SEC_CONFLICT,18,1
HH,2026-01-01,ECO_INFL,3.0,1
HH,2026-01-01,NET_OUTAGE,2,1
HH,2026-01-01,SOC_SENT,0.20,1
HH,2026-01-02,SEC_CONFLICT,20,1
HH,2026-01-02,ECO_INFL,3.2,1
HH,2026-01-02,NET_OUTAGE,2,1
HH,2026-01-02,SOC_SENT,0.10,1
HH,2026-01-03,SEC_CONFLICT,24,1
HH,2026-01-03,ECO_INFL,3.5,1
HH,2026-01-03,NET_OUTAGE,3,1
HH,2026-01-03,SOC_SENT,0.05,1

II,2026-01-01,SEC_CONFLICT,2,1
II,2026-01-01,ECO_INFL,1.2,1
II,2026-01-01,NET_OUTAGE,0,1
II,2026-01-01,SOC_SENT,0.55,1
II,2026-01-02,SEC_CONFLICT,3,1
II,2026-01-02,ECO_INFL,1.3,1
II,2026-01-02,NET_OUTAGE,0,1
II,2026-01-02,SOC_SENT,0.50,1
II,2026-01-03,SEC_CONFLICT,4,1
II,2026-01-03,ECO_INFL,1.5,1
II,2026-01-03,NET_OUTAGE,0,1
II,2026-01-03,SOC_SENT,0.40,1

JJ,2026-01-01,SEC_CONFLICT,30,1
JJ,2026-01-01,ECO_INFL,6.5,1
JJ,2026-01-01,NET_OUTAGE,5,1
JJ,2026-01-01,SOC_SENT,-0.10,1
JJ,2026-01-02,SEC_CONFLICT,32,1
JJ,2026-01-02,ECO_INFL,6.8,1
JJ,2026-01-02,NET_OUTAGE,6,1
JJ,2026-01-02,SOC_SENT,-0.15,1
JJ,2026-01-03,SEC_CONFLICT,38,1
JJ,2026-01-03,ECO_INFL,7.2,1
JJ,2026-01-03,NET_OUTAGE,7,1
JJ,2026-01-03,SOC_SENT,-0.25,1

