iso2,date_ymd,perturb,delta_nfsi
CC,2026-01-02,ECO_INFL_plus10,0.0
CC,2026-01-03,ECO_INFL_plus10,0.0
DD,2026-01-01,ECO_INFL_plus10,-0.01
DD,2026-01-02,ECO_INFL_plus10,-0.01
DD,2026-01-03,ECO_INFL_plus10,-0.01
EE,2026-01-01,ECO_INFL_plus10,0.0
EE,2026-01-02,ECO_INFL_plus10,0.0
EE,2026-01-03,ECO_INFL_plus10,0.0
FF,2026-01-01,ECO_INFL_plus10,-0.01
FF,2026-01-02,ECO_INFL_plus10,-0.01
FF,2026-01-03,ECO_INFL_plus10,-0.01
GG,2026-01-01,ECO_INFL_plus10,0.0
GG,2026-01-02,ECO_INFL_plus10,0.0
GG,2026-01-03,ECO_INFL_plus10,0.0
HH,2026-01-01,ECO_INFL_plus10,-0.01
HH,2026-01-02,ECO_INFL_plus10,0.0
HH,2026-01-03,ECO_INFL_plus10,0.0
II,2026-01-01,ECO_INFL_plus10,-0.01
II,2026-01-02,ECO_INFL_plus10,-0.01
II,2026-01-03,ECO_INFL_plus10,-0.01
JJ,2026-01-01,ECO_INFL_plus10,-0.01
JJ,2026-01-02,ECO_INFL_plus10,-0.02
JJ,2026-01-03,ECO_INFL_plus10,0.0
AA,2026-01-01,NET_OUTAGE_plus10,-0.02
AA,2026-01-02,NET_OUTAGE_plus10,-0.01
AA,2026-01-03,NET_OUTAGE_plus10,0.0
BB,2026-01-01,NET_OUTAGE_plus10,-0.02
BB,2026-01-02,NET_OUTAGE_plus10,-0.03
BB,2026-01-03,NET_OUTAGE_plus10,-0.01
CC,2026-01-01,NET_OUTAGE_plus10,0.0
CC,2026-01-02,NET_OUTAGE_plus10,0.0
CC,2026-01-03,NET_OUTAGE_plus10,0.0
DD,2026-01-01,NET_OUTAGE_plus10,-0.03
DD,2026-01-02,NET_OUTAGE_plus10,-0.03
DD,2026-01-03,NET_OUTAGE_plus10,-0.03
EE,2026-01-01,NET_OUTAGE_plus10,-0.01
EE,2026-01-02,NET_OUTAGE_plus10,0.0
EE,2026-01-03,NET_OUTAGE_plus10,0.03
FF,2026-01-01,NET_OUTAGE_plus10,-0.03
FF,2026-01-02,NET_OUTAGE_plus10,-0.03
FF,2026-01-03,NET_OUTAGE_plus10,-0.03
GG,2026-01-01,NET_OUTAGE_plus10,0.0
GG,2026-01-02,NET_OUTAGE_plus10,0.0
GG,2026-01-03,NET_OUTAGE_plus10,0.0
HH,2026-01-01,NET_OUTAGE_plus10,-0.03
HH,2026-01-02,NET_OUTAGE_plus10,-0.01
HH,2026-01-03,NET_OUTAGE_plus10,0.0
II,2026-01-01,NET_OUTAGE_plus10,-0.03
II,2026-01-02,NET_OUTAGE_plus10,-0.03
II,2026-01-03,NET_OUTAGE_plus10,-0.03
JJ,2026-01-01,NET_OUTAGE_plus10,0.01
JJ,2026-01-02,NET_OUTAGE_plus10,0.01
JJ,2026-01-03,NET_OUTAGE_plus10,0.0
AA,2026-01-01,SOC_SENT_plus10,-0.03
AA,2026-01-02,SOC_SENT_plus10,-0.03
AA,2026-01-03,SOC_SENT_plus10,0.0
BB,2026-01-01,SOC_SENT_plus10,-0.02
BB,2026-01-02,SOC_SENT_plus10,-0.02
BB,2026-01-03,SOC_SENT_plus10,-0.03
CC,2026-01-01,SOC_SENT_plus10,0.0
CC,2026-01-02,SOC_SENT_plus10,0.0
CC,2026-01-03,SOC_SENT_plus10,0.0
DD,2026-01-01,SOC_SENT_plus10,-0.02
DD,2026-01-02,SOC_SENT_plus10,-0.02
DD,2026-01-03,SOC_SENT_plus10,-0.02
EE,2026-01-01,SOC_SENT_plus10,-0.02
EE,2026-01-02,SOC_SENT_plus10,-0.03
EE,2026-01-03,SOC_SENT_plus10,-0.04
FF,2026-01-01,SOC_SENT_plus10,-0.02
FF,2026-01-02,SOC_SENT_plus10,-0.02
FF,2026-01-03,SOC_SENT_plus10,-0.02
GG,2026-01-01,SOC_SENT_plus10,0.0
GG,2026-01-02,SOC_SENT_plus10,0.0
GG,2026-01-03,SOC_SENT_plus10,0.0
HH,2026-01-01,SOC_SENT_plus10,-0.02
HH,2026-01-02,SOC_SENT_plus10,-0.02
HH,2026-01-03,SOC_SENT_plus10,-0.03
II,2026-01-01,SOC_SENT_plus10,-0.02
II,2026-01-02,SOC_SENT_plus10,-0.02
II,2026-01-03,SOC_SENT_plus10,-0.02
JJ,2026-01-01,SOC_SENT_plus10,-0.04
JJ,2026-01-02,SOC_SENT_plus10,-0.05
JJ,2026-01-03,SOC_SENT_plus10,0.0
